round,accuracy,loss,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,update_norm,client_accuracies,keep_rate
40,0.2066,3.8922436527907847,0.249875,3.5664669759571552,0.0335,5.195350360125303,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.244, 0.058, 0.416, 0.188, 0.332, 0.242, 0.272, 0.414, 0.446, 0.364, 0.292, 0.29, 0.216, 0.064, 0.0, 0.0, 0.218, 0.0, 0.076]",1.0
41,0.2076,3.871929458528757,0.250875,3.5592711865901947,0.0345,5.122562546283007,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.22, 0.0, 0.05, 0.328, 0.43, 0.0, 0.0, 0.222, 0.422, 0.182, 0.366, 0.31, 0.274, 0.294, 0.42, 0.26, 0.078, 0.06, 0.0, 0.236]",1.0
42,0.2051,3.8184589244425298,0.246375,3.5582274505868554,0.04,4.859384819865227,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.426, 0.268, 0.358, 0.0, 0.332, 0.0, 0.0, 0.246, 0.118, 0.244, 0.076, 0.204, 0.3, 0.222, 0.432, 0.034, 0.084, 0.44, 0.0, 0.318]",1.0
43,0.2053,3.796717329323292,0.246,3.563619889318943,0.0425,4.729107089340687,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.092, 0.426, 0.296, 0.0, 0.328, 0.286, 0.07, 0.364, 0.208, 0.0, 0.0, 0.238, 0.336, 0.02, 0.242, 0.434, 0.0, 0.078, 0.438]",1.0
44,0.2058,3.7621704909950493,0.24675,3.561044402886182,0.042,4.566674843430519,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.018, 0.318, 0.092, 0.428, 0.052, 0.25, 0.3, 0.0, 0.0, 0.446, 0.0, 0.236, 0.338, 0.204, 0.348, 0.0, 0.28, 0.076, 0.276, 0.454]",1.0
45,0.2056,3.7375587694346906,0.24625,3.5630740206688643,0.043,4.435497764497995,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.428, 0.024, 0.284, 0.3, 0.0, 0.0, 0.452, 0.33, 0.01, 0.248, 0.0, 0.076, 0.272, 0.21, 0.454, 0.096, 0.244, 0.338, 0.0, 0.346]",1.0
46,0.2073,3.715058383718133,0.24825,3.5642764647491276,0.0435,4.318186059594154,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.434, 0.0, 0.332, 0.274, 0.35, 0.008, 0.246, 0.0, 0.446, 0.0, 0.022, 0.294, 0.45, 0.098, 0.348, 0.3, 0.0, 0.076, 0.258, 0.21]",1.0
47,0.2079,3.693798226118088,0.24975,3.5647433381527662,0.0405,4.210017777979374,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.3, 0.352, 0.0, 0.276, 0.008, 0.256, 0.442, 0.212, 0.074, 0.0, 0.45, 0.296, 0.016, 0.352, 0.256, 0.088, 0.0, 0.454, 0.326]",1.0
48,0.2107,3.6774057846516373,0.253125,3.566742496099323,0.041,4.120058938860893,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.078, 0.086, 0.0, 0.0, 0.304, 0.36, 0.008, 0.446, 0.35, 0.26, 0.0, 0.456, 0.338, 0.22, 0.302, 0.276, 0.454, 0.262, 0.0, 0.014]",1.0
49,0.2119,3.6629324864596127,0.254875,3.569357320200652,0.04,4.037233151495457,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.008, 0.452, 0.274, 0.304, 0.22, 0.452, 0.084, 0.37, 0.012, 0.454, 0.272, 0.0, 0.076, 0.0, 0.0, 0.302, 0.0, 0.26, 0.356, 0.342]",1.0
50,0.2135,3.6512878302484753,0.25675,3.5737101058475673,0.0405,3.961598727852106,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.454, 0.31, 0.266, 0.354, 0.22, 0.456, 0.01, 0.458, 0.342, 0.084, 0.0, 0.308, 0.272, 0.008, 0.076, 0.278, 0.002, 0.372, 0.0, 0.0]",1.0
