round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
25,0.7251,"[0.738, 0.736, 0.718, 0.71, 0.77, 0.73, 0.73, 0.722, 0.742, 0.732, 0.728, 0.734, 0.704, 0.714, 0.718, 0.72, 0.732, 0.704, 0.702, 0.718]",0.8052844293415546,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
26,0.7283,"[0.726, 0.726, 0.724, 0.724, 0.746, 0.714, 0.706, 0.74, 0.738, 0.718, 0.778, 0.714, 0.734, 0.74, 0.728, 0.71, 0.726, 0.728, 0.722, 0.724]",0.7959324326366186,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
27,0.7301,"[0.732, 0.72, 0.728, 0.702, 0.734, 0.734, 0.78, 0.734, 0.728, 0.732, 0.714, 0.746, 0.726, 0.732, 0.736, 0.742, 0.716, 0.724, 0.726, 0.716]",0.7876406035386025,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
28,0.7337,"[0.774, 0.74, 0.73, 0.746, 0.732, 0.734, 0.738, 0.742, 0.728, 0.734, 0.718, 0.73, 0.718, 0.736, 0.71, 0.724, 0.738, 0.724, 0.744, 0.734]",0.778506169654429,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
29,0.7375,"[0.732, 0.724, 0.756, 0.702, 0.742, 0.74, 0.724, 0.74, 0.736, 0.744, 0.74, 0.778, 0.73, 0.734, 0.716, 0.742, 0.756, 0.742, 0.742, 0.73]",0.7714688916690647,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
30,0.7393,"[0.74, 0.736, 0.746, 0.728, 0.724, 0.744, 0.748, 0.78, 0.738, 0.744, 0.704, 0.74, 0.746, 0.734, 0.756, 0.732, 0.716, 0.744, 0.74, 0.746]",0.7646674594841898,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
31,0.7425,"[0.744, 0.742, 0.78, 0.746, 0.71, 0.738, 0.758, 0.752, 0.74, 0.74, 0.742, 0.752, 0.75, 0.73, 0.75, 0.74, 0.718, 0.734, 0.748, 0.736]",0.7575014559552073,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
32,0.745,"[0.744, 0.75, 0.716, 0.712, 0.75, 0.746, 0.752, 0.75, 0.736, 0.742, 0.73, 0.756, 0.744, 0.748, 0.746, 0.764, 0.74, 0.742, 0.752, 0.78]",0.752240545116365,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
33,0.7445,"[0.74, 0.74, 0.752, 0.736, 0.728, 0.726, 0.75, 0.748, 0.742, 0.75, 0.746, 0.748, 0.758, 0.742, 0.744, 0.712, 0.754, 0.748, 0.774, 0.752]",0.7484944647178053,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
34,0.7465,"[0.756, 0.738, 0.75, 0.752, 0.752, 0.744, 0.782, 0.752, 0.746, 0.746, 0.744, 0.75, 0.748, 0.75, 0.748, 0.726, 0.734, 0.716, 0.748, 0.748]",0.7434458550065756,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
