round,clean_accuracy,loss,malicious_accuracy,malicious_loss,accuracy,global_loss,client_accuracies,client_update_norms,keep_rate
34,0.9923,0.024812357440298173,0.0,0.0,0.9923,0.024812357440298173,"[0.99, 0.994, 0.998, 0.99, 1.0, 0.988, 0.994, 0.992, 0.996, 0.986, 0.998, 0.98, 1.0, 1.0, 0.996, 0.988, 0.982, 0.978, 1.0, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
35,0.9922000000000001,0.024665108742540555,0.0,0.0,0.9922000000000001,0.024665108742540555,"[0.99, 1.0, 0.994, 1.0, 0.99, 0.986, 0.998, 0.988, 1.0, 0.978, 0.982, 0.996, 0.99, 0.996, 0.994, 1.0, 0.988, 0.996, 0.998, 0.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
36,0.9924999999999999,0.02436253717300758,0.0,0.0,0.9924999999999999,0.02436253717300758,"[0.98, 0.99, 0.996, 0.988, 0.99, 0.996, 0.98, 1.0, 0.994, 0.996, 0.998, 0.998, 0.988, 1.0, 0.988, 0.984, 1.0, 0.99, 0.994, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
37,0.9921999999999999,0.02434266944205916,0.0,0.0,0.9921999999999999,0.02434266944205916,"[0.98, 0.994, 0.994, 1.0, 0.99, 0.99, 1.0, 0.994, 0.988, 1.0, 0.996, 0.996, 0.984, 0.98, 0.986, 0.998, 0.998, 0.988, 1.0, 0.988]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
38,0.9924999999999999,0.02421058825387874,0.0,0.0,0.9924999999999999,0.02421058825387874,"[0.99, 0.988, 1.0, 0.996, 0.99, 1.0, 0.998, 0.998, 0.98, 0.994, 0.994, 1.0, 0.984, 0.998, 0.99, 0.986, 0.98, 0.996, 1.0, 0.988]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
39,0.9926999999999999,0.024098017000363115,0.0,0.0,0.9926999999999999,0.024098017000363115,"[0.998, 1.0, 0.988, 0.98, 0.994, 1.0, 0.988, 1.0, 0.994, 0.998, 0.996, 0.998, 0.98, 0.99, 0.99, 1.0, 0.988, 0.984, 0.998, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
40,0.9927999999999999,0.024141848359799666,0.0,0.0,0.9927999999999999,0.024141848359799666,"[0.996, 0.988, 0.994, 0.998, 1.0, 0.992, 0.984, 1.0, 0.98, 0.994, 1.0, 0.988, 0.998, 0.99, 1.0, 0.996, 0.99, 0.99, 0.998, 0.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
41,0.9926,0.023825286629407572,0.0,0.0,0.9926,0.023825286629407572,"[1.0, 0.996, 0.99, 0.998, 0.98, 0.994, 0.98, 0.982, 1.0, 0.99, 0.988, 0.996, 1.0, 0.988, 1.0, 0.99, 1.0, 0.994, 0.998, 0.988]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
42,0.9927999999999999,0.023857267269386993,0.0,0.0,0.9927999999999999,0.023857267269386993,"[0.996, 0.98, 0.998, 0.99, 0.996, 0.998, 1.0, 0.996, 1.0, 0.988, 1.0, 0.99, 0.994, 0.982, 0.98, 0.99, 1.0, 0.988, 1.0, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
43,0.9927999999999999,0.023793822815929743,0.0,0.0,0.9927999999999999,0.023793822815929743,"[0.994, 0.998, 0.982, 0.99, 0.99, 1.0, 0.99, 0.998, 1.0, 0.996, 1.0, 0.996, 0.996, 1.0, 1.0, 0.988, 0.988, 0.98, 0.99, 0.98]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
44,0.9927999999999999,0.0239087956375549,0.0,0.0,0.9927999999999999,0.0239087956375549,"[0.99, 0.99, 0.988, 0.998, 0.98, 1.0, 1.0, 0.99, 0.996, 1.0, 1.0, 1.0, 0.994, 0.98, 0.992, 0.988, 0.998, 0.994, 0.996, 0.982]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
45,0.9929,0.023975587746756587,0.0,0.0,0.9929,0.023975587746756587,"[0.99, 0.988, 1.0, 0.984, 0.99, 0.996, 1.0, 0.98, 0.996, 0.992, 0.988, 1.0, 1.0, 0.998, 0.998, 0.99, 1.0, 0.98, 0.994, 0.994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
46,0.9929,0.02376875126392939,0.0,0.0,0.9929,0.02376875126392939,"[0.99, 0.996, 0.99, 1.0, 0.988, 0.992, 0.988, 0.99, 0.998, 1.0, 0.994, 1.0, 1.0, 1.0, 0.98, 0.994, 0.996, 0.98, 0.984, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
47,0.9928999999999999,0.02378255310996291,0.0,0.0,0.9928999999999999,0.02378255310996291,"[0.994, 1.0, 0.984, 1.0, 0.99, 0.998, 0.996, 0.992, 1.0, 0.98, 0.998, 0.988, 0.988, 0.996, 0.99, 0.994, 1.0, 0.98, 1.0, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
48,0.9928999999999999,0.0237033462077779,0.0,0.0,0.9928999999999999,0.0237033462077779,"[0.984, 0.98, 1.0, 0.992, 1.0, 0.998, 0.996, 0.988, 1.0, 0.99, 0.996, 0.99, 0.998, 0.994, 0.992, 1.0, 0.98, 0.99, 0.99, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
49,0.9928999999999999,0.02365306166516472,0.0,0.0,0.9928999999999999,0.02365306166516472,"[0.988, 0.998, 0.98, 0.98, 1.0, 0.992, 0.998, 0.99, 1.0, 0.994, 0.988, 0.984, 1.0, 1.0, 0.99, 0.994, 0.996, 1.0, 0.99, 0.996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
50,0.9928000000000001,0.023591310628320983,0.0,0.0,0.9928000000000001,0.023591310628320983,"[0.98, 1.0, 0.992, 0.998, 0.98, 0.994, 0.996, 0.988, 1.0, 0.992, 0.996, 0.988, 0.99, 1.0, 0.99, 0.984, 1.0, 0.998, 1.0, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
