round,clean_accuracy,clean_loss,malicious_accuracy,malicious_loss,accuracy,loss,client_accuracies,client_update_norms,keep_rate
11,0.9855,0.04132843993595543,0.0,0.0,0.9855,0.04132843993595543,"[0.998, 0.984, 0.998, 0.974, 0.984, 0.982, 0.978, 0.988, 0.994, 0.982, 0.98, 0.966, 0.992, 0.996, 0.98, 0.978, 0.968, 1.0, 0.994, 0.994]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
12,0.9862,0.03924588848162784,0.0,0.0,0.9862,0.03924588848162784,"[0.996, 0.994, 0.998, 0.988, 0.998, 0.986, 0.992, 0.974, 1.0, 0.98, 0.98, 0.982, 0.982, 0.968, 0.97, 0.98, 0.98, 0.984, 0.994, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
13,0.9869000000000001,0.03748256510234569,0.0,0.0,0.9869000000000001,0.03748256510234569,"[0.984, 0.996, 0.998, 1.0, 0.982, 0.98, 0.972, 0.974, 0.982, 0.968, 0.988, 0.98, 0.998, 0.998, 0.996, 0.984, 0.986, 0.996, 0.984, 0.992]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
14,0.9873000000000001,0.035994935951543995,0.0,0.0,0.9873000000000001,0.035994935951543995,"[0.97, 0.996, 0.992, 0.984, 0.97, 0.998, 0.984, 0.986, 0.974, 1.0, 0.98, 0.984, 0.998, 0.996, 0.988, 0.982, 0.982, 0.986, 0.998, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
15,0.9874,0.03458273250015509,0.0,0.0,0.9874,0.03458273250015509,"[0.996, 0.996, 0.998, 0.986, 0.984, 0.97, 0.972, 0.998, 0.984, 0.982, 0.984, 0.988, 0.992, 0.982, 0.998, 0.984, 0.998, 1.0, 0.974, 0.982]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
16,0.9879000000000001,0.033395498060065164,0.0,0.0,0.9879000000000001,0.033395498060065164,"[0.996, 0.998, 0.998, 0.986, 0.998, 0.996, 1.0, 0.982, 0.984, 0.97, 0.998, 0.988, 0.982, 0.974, 0.992, 0.984, 0.984, 0.986, 0.988, 0.974]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
17,0.9884000000000001,0.03208520111510325,0.0,0.0,0.9884000000000001,0.03208520111510325,"[0.996, 1.0, 0.988, 0.984, 0.972, 0.988, 0.97, 0.982, 0.998, 0.988, 0.984, 1.0, 0.998, 0.988, 0.976, 0.984, 0.996, 0.992, 0.998, 0.986]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
18,0.9887,0.031296830448127366,0.0,0.0,0.9887,0.031296830448127366,"[0.996, 0.984, 0.984, 1.0, 1.0, 0.992, 1.0, 0.982, 0.988, 0.97, 0.988, 0.99, 0.998, 0.996, 0.976, 0.99, 0.972, 0.988, 0.982, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
19,0.9889999999999999,0.030584791405647137,0.0,0.0,0.9889999999999999,0.030584791405647137,"[0.984, 0.988, 0.984, 0.982, 0.998, 1.0, 0.972, 0.986, 0.996, 0.978, 0.972, 1.0, 0.988, 0.99, 0.988, 1.0, 0.99, 0.996, 0.998, 0.99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
20,0.9896000000000003,0.029836753144468275,0.0,0.0,0.9896000000000003,0.029836753144468275,"[0.974, 0.994, 0.988, 0.984, 0.998, 0.99, 0.99, 0.996, 0.988, 0.988, 0.996, 0.976, 0.986, 1.0, 0.984, 1.0, 0.984, 0.978, 1.0, 0.998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
