round,accuracy,client_accuracies,loss,client_update_norms,keep_rate
25,0.9907,"[1.0, 0.988, 0.988, 1.0, 0.988, 0.998, 0.976, 0.984, 1.0, 0.982, 0.994, 0.992, 0.988, 0.998, 0.996, 0.986, 0.996, 0.978, 0.996, 0.986]",0.027162114882713695,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
26,0.9911,"[1.0, 0.984, 0.986, 0.978, 0.996, 0.998, 0.994, 1.0, 0.986, 0.978, 0.988, 1.0, 0.988, 0.988, 0.996, 0.998, 0.994, 0.99, 0.998, 0.982]",0.026736728921048326,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
27,0.9911,"[0.992, 0.996, 0.988, 0.998, 0.978, 0.978, 1.0, 1.0, 0.99, 0.988, 0.998, 0.994, 0.994, 0.986, 0.984, 0.996, 0.982, 1.0, 0.994, 0.986]",0.026307728858424185,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
28,0.9914,"[0.984, 0.992, 0.978, 1.0, 0.994, 0.998, 0.988, 0.986, 0.998, 0.996, 0.988, 0.996, 1.0, 0.978, 0.988, 0.982, 0.99, 1.0, 0.996, 0.996]",0.026003303972677826,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
29,0.9913,"[0.994, 0.996, 0.998, 0.988, 0.996, 0.998, 0.996, 1.0, 0.978, 0.984, 0.978, 1.0, 1.0, 0.988, 0.992, 0.982, 0.988, 0.996, 0.988, 0.986]",0.025735361401363833,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
30,0.9916,"[1.0, 0.994, 0.992, 0.996, 0.98, 0.988, 1.0, 0.996, 0.984, 0.988, 0.996, 0.996, 1.0, 1.0, 0.982, 0.99, 0.988, 0.978, 0.986, 0.998]",0.0254508074343363,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
31,0.9917,"[1.0, 0.984, 0.988, 0.982, 0.978, 0.996, 0.98, 0.996, 0.992, 0.998, 1.0, 0.99, 1.0, 0.998, 0.988, 0.986, 0.994, 1.0, 0.996, 0.988]",0.02525386850605571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
32,0.9918,"[0.98, 1.0, 0.99, 0.998, 0.992, 0.982, 1.0, 1.0, 1.0, 0.994, 0.984, 0.988, 0.996, 0.996, 0.998, 0.978, 0.988, 0.988, 0.996, 0.988]",0.025122556819796672,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
33,0.992,"[0.994, 0.998, 0.998, 0.978, 0.988, 0.996, 1.0, 0.992, 0.982, 0.988, 0.996, 0.996, 0.988, 1.0, 0.98, 0.992, 0.984, 1.0, 0.99, 1.0]",0.024882927423027466,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
34,0.9922,"[0.998, 1.0, 0.982, 1.0, 0.99, 1.0, 0.992, 0.992, 0.988, 0.996, 0.996, 0.986, 0.98, 0.978, 0.988, 1.0, 0.994, 0.998, 0.996, 0.99]",0.02461152173851886,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
35,0.9921,"[0.978, 0.992, 1.0, 1.0, 0.988, 0.994, 0.994, 0.982, 0.988, 0.988, 0.992, 0.988, 0.998, 1.0, 0.998, 0.996, 0.98, 0.996, 1.0, 0.99]",0.024543045429567912,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
36,0.9924,"[1.0, 0.994, 0.982, 0.98, 0.98, 1.0, 0.998, 0.988, 0.996, 0.992, 0.988, 0.998, 0.988, 1.0, 0.99, 0.996, 0.996, 0.994, 0.988, 1.0]",0.024300727099718245,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
37,0.9922,"[1.0, 1.0, 0.986, 0.98, 1.0, 0.998, 0.988, 0.98, 0.988, 0.99, 0.994, 0.99, 0.996, 0.994, 0.998, 0.994, 0.988, 1.0, 0.982, 0.998]",0.02415761726053276,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
38,0.9925,"[1.0, 0.99, 0.998, 1.0, 0.988, 0.982, 0.988, 0.994, 1.0, 0.994, 0.994, 0.98, 0.99, 0.998, 0.996, 0.988, 0.98, 1.0, 1.0, 0.99]",0.02399665934463897,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
39,0.9924,"[0.998, 0.996, 0.98, 1.0, 0.982, 0.994, 0.99, 0.998, 0.99, 1.0, 0.99, 0.98, 1.0, 0.994, 0.988, 0.994, 0.988, 0.988, 1.0, 0.998]",0.023944616386851435,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
40,0.9925,"[0.994, 1.0, 1.0, 0.988, 0.996, 1.0, 0.98, 1.0, 0.99, 0.99, 0.998, 0.994, 0.988, 0.98, 0.994, 0.99, 1.0, 0.988, 0.998, 0.982]",0.023921546221394863,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
41,0.9925,"[0.98, 0.998, 0.988, 1.0, 1.0, 0.994, 1.0, 0.994, 0.982, 0.988, 0.998, 1.0, 0.99, 1.0, 0.99, 0.988, 0.99, 0.996, 0.994, 0.98]",0.023784898213349948,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
42,0.9927,"[1.0, 0.988, 0.98, 0.994, 0.99, 1.0, 0.982, 0.994, 0.998, 0.99, 0.99, 0.98, 0.998, 0.996, 0.988, 1.0, 0.99, 1.0, 0.996, 1.0]",0.023695380302851277,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
43,0.9928,"[0.988, 0.99, 1.0, 1.0, 0.988, 0.996, 1.0, 0.992, 1.0, 0.99, 0.998, 0.998, 0.98, 0.996, 1.0, 0.98, 0.99, 0.994, 0.994, 0.982]",0.023685107991478205,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
44,0.9928,"[0.998, 0.99, 0.982, 1.0, 0.98, 0.99, 0.992, 1.0, 0.988, 1.0, 1.0, 1.0, 0.98, 0.994, 0.998, 0.994, 0.996, 0.996, 0.99, 0.988]",0.023697395546811252,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
45,0.9928,"[1.0, 0.988, 0.994, 0.99, 1.0, 0.994, 1.0, 0.992, 0.98, 0.998, 1.0, 0.988, 0.996, 0.99, 0.996, 0.98, 0.99, 1.0, 0.982, 0.998]",0.023581602500772902,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
46,0.9928,"[0.982, 0.99, 0.994, 1.0, 1.0, 0.994, 0.998, 0.99, 0.996, 0.992, 0.988, 0.988, 0.98, 0.98, 0.99, 1.0, 0.996, 1.0, 0.998, 1.0]",0.023610873633313646,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
47,0.9929,"[0.996, 0.99, 1.0, 0.984, 0.998, 0.98, 0.994, 0.99, 0.992, 0.98, 0.994, 0.996, 1.0, 1.0, 1.0, 0.99, 0.998, 0.988, 0.988, 1.0]",0.02364841498900887,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
48,0.9928,"[1.0, 0.988, 1.0, 0.994, 1.0, 0.998, 0.996, 0.992, 1.0, 0.984, 0.996, 0.98, 0.994, 0.988, 0.99, 0.98, 1.0, 0.998, 0.988, 0.99]",0.02341809201085212,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
49,0.9928,"[0.994, 0.988, 0.98, 0.996, 0.98, 0.988, 1.0, 0.99, 0.988, 0.998, 1.0, 1.0, 1.0, 0.994, 0.996, 0.998, 0.984, 0.992, 1.0, 0.99]",0.023428670393388272,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
50,0.9927,"[0.98, 0.996, 0.998, 0.984, 1.0, 0.978, 1.0, 0.988, 0.998, 1.0, 0.992, 0.988, 0.994, 1.0, 0.99, 0.994, 1.0, 0.996, 0.99, 0.988]",0.02332572327695175,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
